Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
lilypichu,745921125,63675,88174,11714,2153426,946047,25277592,TRUE,FALSE,English
PENTA,742408995,146085,25524,5082,255835,110645,7948870,TRUE,TRUE,English
39daph,741062355,112380,35342,6594,861426,451988,14529589,TRUE,FALSE,English
Agraelus,740330490,134955,54289,5485,536065,153699,26147845,TRUE,TRUE,Czech
bratishkinOFF,733754235,53505,68818,13713,1392596,361906,29926339,TRUE,FALSE,Russian
chowh1,731874135,135885,37220,5385,321892,248308,12339610,TRUE,TRUE,French
Greekgodx,730240860,114015,118713,6404,1498551,280978,18737086,TRUE,TRUE,English
DreamHackCS,726117975,41655,138818,17431,1888459,152343,21031674,TRUE,FALSE,English
MuTeX,725376240,155880,18361,4653,584329,472356,10699805,TRUE,TRUE,English
Recrent,725350980,152295,44761,4762,464622,277566,23868378,TRUE,FALSE,Russian
EmadGG,725297100,164475,41233,4409,1377171,992639,18859149,TRUE,FALSE,English
WARDELL,724545150,148665,17957,4873,799297,731261,26730500,TRUE,TRUE,English
Faker,723340140,25095,54478,28824,3409787,905971,42354855,TRUE,FALSE,Korean
deercheerup,722230935,115320,64213,6262,456498,355789,21641245,TRUE,TRUE,Portuguese
bakzera,721471830,52380,506797,13773,1302012,1163936,7562241,TRUE,FALSE,Portuguese
relaxing234,718573125,74145,21140,9691,332622,90618,19541564,TRUE,TRUE,Chinese
pqueen,718353255,86250,339893,8328,1538555,1163755,27424094,TRUE,FALSE,Turkish
우왁굳 (woowakgood),714567585,151950,15918,4702,688394,120195,20386313,TRUE,FALSE,Korean
Destiny,714272520,158670,29438,4501,658513,112473,9645355,FALSE,TRUE,English
AntoineDaniel,712931100,67560,50779,10552,652236,275684,17447655,TRUE,TRUE,French
dogdog,712686105,107085,31142,6655,619989,29026,14283675,TRUE,FALSE,English
Thijs,710024715,105855,30800,6707,769930,18618,16333391,TRUE,FALSE,English
jukes,709138650,94770,32138,7482,1603179,353021,21364238,TRUE,TRUE,Portuguese
JonVlogs,709058535,282675,21617,2508,914045,694604,11153637,TRUE,FALSE,Portuguese
CriticalRole,706305345,15105,116327,46759,749043,243814,10172357,TRUE,FALSE,English
Bonjwa,704562240,277035,11814,2543,170925,48208,15150065,TRUE,FALSE,German
GronkhTV,701084490,352635,11833,1988,337020,136502,7354851,TRUE,TRUE,German
k3soju,697080375,128430,15172,5427,192002,136980,8115610,TRUE,FALSE,English
김도 (kimdoe),695667885,145575,11759,4778,307711,21791,17599826,TRUE,TRUE,Korean
winstrike_tv,687821820,30300,235473,22700,374357,286598,22278280,TRUE,FALSE,Russian
살인마협회장 (sal_gu),685631070,140070,13688,4894,217775,67748,12358734,TRUE,FALSE,Korean
Rakin,684222225,145455,22913,4704,1438574,232328,23290484,TRUE,FALSE,Portuguese
Homyatol,682128960,87180,56519,7824,742133,407584,11676097,TRUE,TRUE,Italian
WePlayDota,681350940,71235,140285,9564,311345,137179,16389507,TRUE,FALSE,English
RduLIVE,680540490,139755,13455,4869,270109,46627,9654754,TRUE,FALSE,English
alexelcapo,671503740,81645,74670,8224,806178,218270,22829356,TRUE,FALSE,Spanish
Rogue,671193570,165120,29984,4064,561529,438050,12822952,TRUE,FALSE,English
roflgator,670266615,150315,22168,4459,218946,129292,6478723,TRUE,TRUE,English
BastiGHG,669394065,161010,16135,4157,836302,394480,15643525,TRUE,FALSE,German
Nightblue3,667853010,121305,90231,5505,2745154,104967,21566896,TRUE,FALSE,English
Gladd,667615365,209790,111346,3182,435070,137255,11189994,TRUE,TRUE,English
Mongraal,666460635,25935,127720,25697,4464122,2048436,33097912,TRUE,FALSE,English
Scarra,665463210,137850,23123,4827,1469464,303858,15744541,TRUE,FALSE,English
allkeyshop_tv,663289230,491340,4338,1349,74704,10176,38227626,TRUE,FALSE,English
